Site_code,Site,Treatment,Fgroup,Species,Plot,LAImax,LAImin,LMA,Max_BM,Min_BM,BM_Growth,WT,PineBM_change,SpruceBM_change,BirchBM_change
MEC,mes,ctr,Graminoids,CareRost,6,0.33753125,0.021028409,105.8877306,35.74041806,2.226650516,33.51376754,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,7,0.099273897,0,105.8877306,10.51188767,0,10.51188767,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,8,0.088633929,0.015771307,105.8877306,9.385245549,1.669987887,7.715257661,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,1,0,0,105.8877306,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,2,0,0,105.8877306,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,3,0,0,105.8877306,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,4,0,0,105.8877306,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,5,0.010328045,0,105.8877306,1.093613276,0,1.093613276,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,6,0.087597269,0.007061145,105.8877306,9.275476002,0.747688595,8.527787407,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,7,0.034627279,0,105.8877306,3.666603952,0,3.666603952,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioAngu,8,0.015546941,0,105.8877306,1.646230346,0,1.646230346,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,1,0.029408951,0,105.8877306,3.114047112,0,3.114047112,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,2,0,0,138.11422,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,3,0,0,138.11422,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,4,0,0,138.11422,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,5,0,0,138.11422,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,6,0.011556818,0.006213542,138.11422,1.596160929,0.858178461,0.737982468,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,7,0,0,138.11422,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,ErioVagi,8,0,0,138.11422,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,1,0.024886029,0,215.163843,5.354573725,0,5.354573725,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,2,0,0,215.163843,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,3,0,0,215.163843,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,4,0,0,215.163843,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,5,0,0,215.163843,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,6,0,0,215.163843,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,7,0,0,215.163843,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,TricAlpi,8,0,0,215.163843,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,1,0.054112601,0,69.62371052,3.767520083,0,3.767520083,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,2,0.004308833,0,69.62371052,0.299996935,0,0.299996935,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,3,0,0,69.62371052,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,4,0,0,69.62371052,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,5,0,0,69.62371052,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,6,0,0,69.62371052,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,7,0,0,69.62371052,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DactMacu,8,0,0,69.62371052,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,1,0.027628125,0,39.31034483,1.086071121,0,1.086071121,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,2,0,0,39.31034483,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,3,0,0,39.31034483,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,4,0.006578125,0,39.31034483,0.258588362,0,0.258588362,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,5,0,0,39.31034483,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,6,0.001315625,0,39.31034483,0.051717672,0,0.051717672,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,7,0,0,39.31034483,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,DrosRotu,8,0.006578125,0,39.31034483,0.258588362,0,0.258588362,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,1,0.017662423,0,47.69516191,0.842412123,0,0.842412123,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,2,0.052792279,0,47.69516191,2.517936314,0,2.517936314,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,3,0.034235294,0,47.69516191,1.632857896,0,1.632857896,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,4,0,0,47.69516191,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,5,0,0,47.69516191,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,6,0,0,47.69516191,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,7,0,0,47.69516191,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,MenyTrif,8,0,0,47.69516191,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,1,0.022495154,0,166.6286563,3.74833735,0,3.74833735,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,2,0.026989583,0,166.6286563,4.497238006,0,4.497238006,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,3,0.010795833,0,166.6286563,1.798895202,0,1.798895202,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,4,0.053979167,0,166.6286563,8.994476012,0,8.994476012,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,5,0,0,166.6286563,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,6,0,0,166.6286563,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,7,0.117400341,0,166.6286563,19.56226109,0,19.56226109,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,SchePalu,8,0.064775,0,166.6286563,10.79337121,0,10.79337121,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,1,0,0,69.62371052,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,2,0.014067888,0,69.62371052,0.979458557,0,0.979458557,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,3,0,0,69.62371052,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,4,0,0,69.62371052,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,5,0,0,69.62371052,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,6,0,0,69.62371052,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,7,0,0,69.62371052,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,TrieEuro,8,0,0,69.62371052,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,1,0,0,69.62371052,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,2,0.041461538,0,69.62371052,2.886706151,0,2.886706151,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,3,0,0,69.62371052,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,4,0,0,69.62371052,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,5,0.018736264,0,69.62371052,1.304488203,0,1.304488203,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,6,0.026363351,0,69.62371052,1.835514348,0,1.835514348,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,7,0,0,69.62371052,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,PotePalu,8,0,0,69.62371052,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,1,0,0,32.23218514,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,2,0,0,32.23218514,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,3,0,0,32.23218514,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,4,0,0,32.23218514,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,5,0.02845,0,32.23218514,0.917005667,0,0.917005667,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,6,0.098917503,0,32.23218514,3.188327275,0,3.188327275,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,7,0,0,32.23218514,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Forbs,ViolPalu,8,0.02845,0,32.23218514,0.917005667,0,0.917005667,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,1,0.03096166,0.009667092,322.7739887,9.99361836,3.120285792,6.873332568,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,2,0.068567044,0.037181122,322.7739887,22.1316583,12.0010992,10.1305591,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,3,0.450612135,0.14575,322.7739887,145.4458763,47.04430886,98.40156746,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,4,0.028723371,0,322.7739887,9.271157151,0,9.271157151,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,5,0.01038621,0,322.7739887,3.352398283,0,3.352398283,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,6,0,0,322.7739887,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,7,0,0,322.7739887,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_S,8,0,0,322.7739887,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,1,0.000806122,0,322.7739887,0.260195358,0,0.260195358,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,2,0.000201531,0,322.7739887,0.06504884,0,0.06504884,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,3,0.000225789,0,322.7739887,0.072878788,0,0.072878788,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,4,0.000403061,0,322.7739887,0.130097679,0,0.130097679,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,5,0.000604592,0,322.7739887,0.195146519,0,0.195146519,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,6,0,0,322.7739887,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,7,0.000806122,0,322.7739887,0.260195358,0,0.260195358,-6,3942.784328,na,163.447769
MEC,mes,ctr,Tree seedlings,PinuSylv_G,8,0,0,322.7739887,0,0,0,-13.6,3942.784328,na,163.447769
MED,mes,dr,Evergreen shrubs,AndrPoli,1,0.004327582,0.001238516,164.4923301,0.711854053,0.203726362,0.508127691,-20.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,2,0,0,164.4923301,0,0,0,-22.2,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,3,0,0,164.4923301,0,0,0,-30.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,4,0,0,164.4923301,0,0,0,-20.6,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,5,0,0,164.4923301,0,0,0,-21.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,6,0,0,164.4923301,0,0,0,-22.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,7,0,0,164.4923301,0,0,0,-20.6,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,AndrPoli,8,0,0,164.4923301,0,0,0,-19,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,1,0,0,161.8333333,0,0,0,-20.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,2,0,0,161.8333333,0,0,0,-22.2,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,3,0.003395308,0.002766446,161.8333333,0.549474063,0.447703195,0.101770868,-30.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,4,0,0,161.8333333,0,0,0,-20.6,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,5,0,0,161.8333333,0,0,0,-21.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,6,0,0,161.8333333,0,0,0,-22.4,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,7,0,0,161.8333333,0,0,0,-20.6,3040.412198,2042.074487,391.5619003
MED,mes,dr,Evergreen shrubs,EmpeNigr,8,0,0,161.8333333,0,0,0,-19,3040.412198,2042.074487,391.5619003
